price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;build_age ;is_new;is_apartments;ceiling_height;number_of_rooms;link
6 300 000,00;8;CAR;19,7;12,7;2;3;1900;124;0;1;3,6;1;https://www.cian.ru/sale/flat/297145162/
6 300 000,00;1;EAR;18,3;16;3;4;2019;5;0;1;2,8;1;https://www.cian.ru/sale/flat/296717856/
6 307 760,00;2;NAR;20;12;1;3;2019;5;0;1;3,33;1;https://www.cian.ru/sale/flat/295670716/
6 333 000,00;8;CAR;27;18;2;8;1995;29;0;1;3,2;1;https://www.cian.ru/sale/flat/299025994/
6 370 000,00;12;SEAR;29,8;37,5;1;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/298016388/
6 370 000,00;12;SEAR;29,8;17;1;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/300557537/
6 370 000,00;12;SEAR;30;18;1;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/279800832/
6 400 000,00;20;NAR;22,5;11,5;1;1;2023;1;0;1;3;1;https://www.cian.ru/sale/flat/299984268/
6 400 000,00;15;EAR;24;16;2;6;1970;54;0;1;3,3;1;https://www.cian.ru/sale/flat/300184257/
6 460 000,00;12;SEAR;27;16;5;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/293493990/
6 500 000,00;19;SEAR;40,6;20;6;6;2019;5;0;1;4;1;https://www.cian.ru/sale/flat/300977548/
6 500 000,00;14;NAR;18,1;13,1;2;17;2022;2;0;1;3;1;https://www.cian.ru/sale/flat/299560251/
6 500 000,00;12;NEAR;18;37,5;4;12;1981;43;0;0;2,7;1;https://www.cian.ru/sale/flat/300726839/
6 500 000,00;12;NAR;23;10;1;5;1956;68;0;1;4;1;https://www.cian.ru/sale/flat/300081634/
6 500 000,00;8;NWAR;26,4;15,8;1;14;1994;30;0;1;2,7;1;https://www.cian.ru/sale/flat/288991914/
6 500 000,00;6;NEAR;18,2;9,2;2;5;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/294948955/
6 500 000,00;6;NEAR;30;20;1;5;2019;5;0;1;2,5;1;https://www.cian.ru/sale/flat/297248368/
6 500 000,00;5;WAR;31,5;21,3;4;9;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/299237703/
6 507 000,00;12;SEAR;26,7;15;4;9;2019;5;0;1;2,6;1;https://www.cian.ru/sale/flat/299938675/
6 507 500,00;12;SEAR;26,8;15;4;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/299016463/
6 507 500,00;12;SEAR;26,9;15;6;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/300558065/
6 507 900,00;12;SEAR;26,9;37,5;6;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/299789518/
6 600 000,00;13;SWAR;26,2;15;1;14;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/298261972/
6 600 000,00;9;NAR;22;15;4;5;2019;5;0;1;3,5;1;https://www.cian.ru/sale/flat/300008616/
6 600 000,00;9;SAR;22,7;10;4;6;2020;4;0;1;4,6;1;https://www.cian.ru/sale/flat/299890881/
6 609 260,00;2;NAR;20;10;3;3;2019;5;0;1;3,5;1;https://www.cian.ru/sale/flat/295685444/
6 650 000,00;12;NEAR;19;37,5;7;12;1981;43;0;0;2,7;1;https://www.cian.ru/sale/flat/300116229/
6 688 500,00;12;SEAR;29,5;16,7;5;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/300558938/
6 700 000,00;18;NAR;26;16,2;4;4;1975;49;0;1;3;1;https://www.cian.ru/sale/flat/298225520/
6 700 000,00;11;NEAR;19;11;1;4;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/296475414/
6 700 000,00;4;NEAR;20;14;9;16;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/295180835/
6 749 000,00;2;NEAR;28,6;20,6;1;5;1955;69;0;1;3,5;1;https://www.cian.ru/sale/flat/291328090/
6 800 000,00;17;SWAR;23;12;1;9;1970;54;0;1;3;1;https://www.cian.ru/sale/flat/283478568/
6 800 000,00;17;EAR;37;30;1;2;2019;5;0;1;5;1;https://www.cian.ru/sale/flat/299776751/
6 800 000,00;7;SAR;28;11;1;10;1983;41;0;0;2,48;1;https://www.cian.ru/sale/flat/299185625/
6 800 000,00;4;CAR;58,8;37,5;1;5;1929;95;0;1;3;1;https://www.cian.ru/sale/flat/300212234/
6 825 000,00;12;SEAR;30,3;37,5;3;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/298016918/
6 854 250,00;12;SEAR;34,9;37,5;1;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/296746930/
6 890 000,00;3;SWAR;37;30;6;7;2019;5;0;1;3,2;2;https://www.cian.ru/sale/flat/298036394/
6 895 000,00;8;CAR;20,9;12,9;1;3;1900;124;0;1;4,5;1;https://www.cian.ru/sale/flat/284489277/
6 899 000,00;1;NAR;25,1;37,5;1;3;2022;2;0;1;3,5;1;https://www.cian.ru/sale/flat/294971554/
6 950 000,00;20;NAR;30;20;5;5;2023;1;0;1;5,5;2;https://www.cian.ru/sale/flat/299828426/
6 950 000,00;8;CAR;28;18;2;8;1995;29;0;1;3,2;1;https://www.cian.ru/sale/flat/299027789/
6 990 000,00;11;NEAR;20;12;1;4;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/296475420/
6 990 000,00;7;EAR;21;37,5;1;6;1927;97;0;1;3;1;https://www.cian.ru/sale/flat/300302065/
7 000 000,00;18;SEAR;21,5;37,5;23;25;2023;1;1;0;2,65;1;https://www.cian.ru/sale/flat/298746990/
7 000 000,00;15;SEAR;41,5;21;11;12;2019;5;0;0;2,65;1;https://www.cian.ru/sale/flat/287073904/
7 000 000,00;14;WAR;20,3;9,3;5;16;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/294760157/
7 000 000,00;11;SAR;21,7;12,7;2;3;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/300395248/
7 000 000,00;11;EAR;31,7;12;1;17;1983;41;0;1;2,64;1;https://www.cian.ru/sale/flat/300072372/
7 000 000,00;11;WAR;83,7;49,4;1;26;2013;11;0;0;2,7;4;https://www.cian.ru/sale/flat/237399267/
7 000 000,00;4;NEAR;21;13;9;16;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/297150227/
7 000 000,00;4;EAR;29,7;18,6;1;9;2019;5;0;1;2,6;1;https://www.cian.ru/sale/flat/299472476/
7 000 000,00;4;NEAR;37,9;19;4;17;1988;36;0;0;2,64;1;https://www.cian.ru/sale/flat/300001960/
7 060 000,00;7;CAR;25,3;37,5;1;5;1959;65;0;1;2,8;1;https://www.cian.ru/sale/flat/299097548/
7 100 000,00;16;SEAR;18;37,5;8;10;2019;5;0;0;3;1;https://www.cian.ru/sale/flat/295974920/
7 100 000,00;7;EAR;28,7;37,5;2;5;1972;52;0;0;2,64;1;https://www.cian.ru/sale/flat/300393795/
7 100 000,00;7;EAR;29,4;15,5;2;5;1972;52;0;0;2,77;1;https://www.cian.ru/sale/flat/300373889/
7 105 000,00;7;SEAR;24,5;16;1;7;1956;68;0;1;4;1;https://www.cian.ru/sale/flat/291960828/
7 198 354,00;2;NAR;25,1;15,1;1;3;2019;5;0;1;3,5;1;https://www.cian.ru/sale/flat/296523412/
7 200 000,00;8;CAR;19;7;2;3;1900;124;0;1;3;1;https://www.cian.ru/sale/flat/296211422/
7 200 000,00;8;NEAR;28;37,5;1;6;1942;82;0;0;3,2;1;https://www.cian.ru/sale/flat/300191546/
7 220 000,00;12;SEAR;35,1;37,5;9;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/296746996/
7 220 000,00;12;SEAR;35,1;21;9;9;1980;44;0;1;2,6;1;https://www.cian.ru/sale/flat/300484387/
7 220 000,00;12;SEAR;35,1;20;9;9;1980;44;0;1;2,5;1;https://www.cian.ru/sale/flat/300556981/
7 300 000,00;20;NAR;26,4;12;5;5;2019;5;0;1;8;1;https://www.cian.ru/sale/flat/299715031/
7 300 000,00;20;SWAR;30,6;37,5;1;3;1960;64;0;0;3;1;https://www.cian.ru/sale/flat/298365407/
7 300 000,00;15;SEAR;20;9;10;18;2022;2;0;0;2,8;1;https://www.cian.ru/sale/flat/291183295/
7 300 000,00;11;NWAR;31,5;14;1;14;2019;5;0;1;3;1;https://www.cian.ru/sale/flat/293717676/
7 300 000,00;10;SEAR;32,7;17,9;11;12;1980;44;0;0;2,5;1;https://www.cian.ru/sale/flat/300889888/
7 300 000,00;9;SEAR;38,9;20,9;5;12;1977;47;0;0;2,64;1;https://www.cian.ru/sale/flat/300075498/
7 350 000,00;7;SAR;35,5;20;1;9;1973;51;0;0;2,64;1;https://www.cian.ru/sale/flat/298284201/
