price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;is_new;is_apartments;ceiling_height;number_of_rooms;link
5390000;;NAR;17,2;10,2;2;3;;0;1;3,4;1;https://www.cian.ru/sale/flat/300156073/
5430000;16;NEAR;22,5;14;2;16;1989;0;1;3;1;https://www.cian.ru/sale/flat/300111122/
5444000;5;EAR;23;15;1;12;1977;0;1;2,5;1;https://www.cian.ru/sale/flat/281954303/
5445000;2;NEAR;19,8;;2;5;;0;1;3,15;1;https://www.cian.ru/sale/flat/299884766/
5450000;60;WAR;18;;4;5;;0;1;;1;https://www.cian.ru/sale/flat/286867547/
5478000;10;NAR;16,6;7,6;4;4;;0;1;;1;https://www.cian.ru/sale/flat/293983413/
5500000;5;SAR;55;33;2;9;1970;0;0;2,64;2;https://www.cian.ru/sale/flat/300591249/
5500000;;SAR;27;14;4;5;1930;0;1;3;1;https://www.cian.ru/sale/flat/300718061/
5500000;10;CAR;21;12;1;5;1956;0;1;;1;https://www.cian.ru/sale/flat/300433015/
5500000;7;SAR;34,2;19,2;12;12;;0;0;;1;https://www.cian.ru/sale/flat/299105794/
5570000;8;CAR;18,9;11,9;3;3;1900;0;1;2,9;1;https://www.cian.ru/sale/flat/295649148/
5600000;12;EAR;15;;4;4;;0;1;;1;https://www.cian.ru/sale/flat/296522814/
5690000;11;SEAR;13,2;5,2;1;12;1980;0;0;;1;https://www.cian.ru/sale/flat/299069460/
5699000;16;NWAR;36;20;8;9;;0;1;2,7;1;https://www.cian.ru/sale/flat/297265190/
5699000;15;EAR;29,8;;6;6;1953;0;1;6;1;https://www.cian.ru/sale/flat/293823518/
5699999;1;NAR;23,1;;2;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294230460/
5699999;1;NAR;22,7;;3;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294911919/
5700000;9;SAR;20,7;15;1;14;1985;0;1;2,64;1;https://www.cian.ru/sale/flat/296486978/
5700000;5;EAR;16,2;;5;6;;0;1;3,6;1;https://www.cian.ru/sale/flat/296939878/
5700000;12;SEAR;26,4;;1;7;1958;0;1;2,8;1;https://www.cian.ru/sale/flat/299743847/
5700000;15;NWAR;27,6;14;8;9;1980;0;1;4;1;https://www.cian.ru/sale/flat/277531258/
5700000;14;CAR;43;18;1;6;;0;0;;1;https://www.cian.ru/sale/flat/297971520/
5723000;1;NEAR;19,4;;3;5;;0;1;3,15;1;https://www.cian.ru/sale/flat/299880337/
5799999;1;NAR;23;;2;3;2022;0;1;3,5;1;https://www.cian.ru/sale/flat/294972720/
5800000;3;NAR;20,3;;1;8;;0;1;4,1;1;https://www.cian.ru/sale/flat/299863166/
5850000;;NAR;22,8;14;2;3;;0;1;3,4;1;https://www.cian.ru/sale/flat/300272054/
5900000;10;SAR;40;20,8;3;14;1986;0;0;2,64;1;https://www.cian.ru/sale/flat/297496940/
5900000;3;EAR;15,7;12;2;3;;0;1;3,3;1;https://www.cian.ru/sale/flat/297261517/
5900000;12;EAR;30;21;-1;7;;0;1;;1;https://www.cian.ru/sale/flat/297954187/
5900000;15;SWAR;13;8;2;5;;0;1;;1;https://www.cian.ru/sale/flat/300117178/
5980000;13;WAR;24,1;21,3;1;14;1978;0;1;2,64;1;https://www.cian.ru/sale/flat/291263455/
5990000;2;NAR;19,2;;1;3;;0;1;3,33;1;https://www.cian.ru/sale/flat/295982641/
5999999;3;NEAR;20;;3;5;;0;1;;1;https://www.cian.ru/sale/flat/290999760/
5999999;4;NEAR;20,3;14;3;5;1955;0;1;3;1;https://www.cian.ru/sale/flat/300667437/
6000000;12;SAR;32;18;3;6;1986;0;1;3;1;https://www.cian.ru/sale/flat/294074358/
6000000;3;SWAR;37;23,5;6;7;2013;0;1;3,2;1;https://www.cian.ru/sale/flat/300193305/
6089000;7;SEAR;21;13;1;7;;0;1;4,2;1;https://www.cian.ru/sale/flat/288557638/
6099000;7;CAR;11;9;1;2;;0;1;3,4;1;https://www.cian.ru/sale/flat/298375255/
6100000;10;NAR;13,8;10,8;2;4;1939;0;1;3,2;1;https://www.cian.ru/sale/flat/299691408/
6137000;12;SEAR;26,8;15;5;9;1980;0;1;2,6;1;https://www.cian.ru/sale/flat/300484391/
6182125;12;SEAR;26,8;;4;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/294926126/
6200000;5;NEAR;51,9;30,5;13;14;1992;0;0;2,64;2;https://www.cian.ru/sale/flat/300366380/
6200000;13;SWAR;52,8;;1;5;1960;0;1;2,6;1;https://www.cian.ru/sale/flat/299482165/
6200000;11;NEAR;15;7;1;4;;0;1;;1;https://www.cian.ru/sale/flat/296475412/
6219000;8;CAR;27;18;2;8;2021;0;1;3,2;1;https://www.cian.ru/sale/flat/299562394/
6299000;15;EAR;29,5;;6;6;2023;0;1;6;1;https://www.cian.ru/sale/flat/285374995/
6300000;8;CAR;19,7;12,7;2;3;1900;0;1;3,6;1;https://www.cian.ru/sale/flat/297145162/
6300000;8;CAR;18;11;4;6;;0;1;;1;https://www.cian.ru/sale/flat/298484887/
6300000;1;EAR;18,3;16;3;4;;0;1;2,8;1;https://www.cian.ru/sale/flat/296717856/
6300000;15;CAR;40,4;;1;1;;0;1;3,65;1;https://www.cian.ru/sale/flat/298986136/
6300000;3;CAR;13;10;4;5;1930;0;1;;1;https://www.cian.ru/sale/flat/284009990/
6307760;2;NAR;20;12;1;3;;0;1;3,33;1;https://www.cian.ru/sale/flat/295670716/
6333000;8;CAR;27;18;2;8;1995;0;1;3,2;1;https://www.cian.ru/sale/flat/299025994/
6370000;12;SEAR;29,8;;1;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/298016388/
6370000;12;SEAR;30;18;1;9;1980;0;1;2,6;1;https://www.cian.ru/sale/flat/279800832/
6370000;12;SEAR;29,8;17;1;9;1980;0;1;2,5;1;https://www.cian.ru/sale/flat/300557537/
6400000;20;NAR;22,5;11,5;1;1;2023;0;1;;1;https://www.cian.ru/sale/flat/299984268/
6400000;15;EAR;24;16;2;6;1970;0;1;3,3;1;https://www.cian.ru/sale/flat/300184257/
6460000;12;SEAR;27;16;5;9;1980;0;1;2,6;1;https://www.cian.ru/sale/flat/293493990/
6500000;8;NWAR;26,4;15,8;1;14;1994;0;1;2,7;1;https://www.cian.ru/sale/flat/288991914/
6500000;12;NAR;23;10;1;5;1956;0;1;4;1;https://www.cian.ru/sale/flat/300081634/
6500000;6;NEAR;18,2;9,2;2;5;;0;1;;1;https://www.cian.ru/sale/flat/294948955/
