price;min_to_metro;region_of_moscow;total_area;living_area;floor;number_of_floors;construction_year;is_new;is_apartments;ceiling_height;number_of_rooms;link
13997000;3;SAR;59,4;43,8;1;9;1973;0;0;;3;https://www.cian.ru/sale/flat/300289604/
13999000;3;NAR;36,7;22,9;2;9;1964;0;0;;2;https://www.cian.ru/sale/flat/300781629/
13999000;18;EAR;57,5;38;3;9;1970;0;0;2,64;3;https://www.cian.ru/sale/flat/299986474/
13999000;11;SEAR;62,6;44;3;9;1967;0;0;2,64;4;https://www.cian.ru/sale/flat/291396641/
13999900;9;NEAR;36;19;9;12;1970;0;0;2,64;1;https://www.cian.ru/sale/flat/300497842/
13999999;19;NEAR;58,3;33,7;6;22;2007;0;0;2,64;2;https://www.cian.ru/sale/flat/300033276/
13999999;4;EAR;48;24;20;22;2022;0;0;2,7;2;https://www.cian.ru/sale/flat/298922909/
14000000;17;SWAR;47;;14;14;1969;0;0;2,64;2;https://www.cian.ru/sale/flat/300795780/
14000000;19;WAR;55,3;;4;4;1949;0;0;3;2;https://www.cian.ru/sale/flat/300853753/
14000000;15;SEAR;51;28,4;5;17;1992;0;0;2,64;2;https://www.cian.ru/sale/flat/300831273/
14000000;13;NAR;37,1;22,6;3;9;1964;0;0;2,64;2;https://www.cian.ru/sale/flat/300754029/
14000000;9;SEAR;58,6;31,6;19;25;2016;0;0;2,7;2;https://www.cian.ru/sale/flat/300654085/
14000000;13;SEAR;54;32,5;1;14;1997;0;0;2,64;2;https://www.cian.ru/sale/flat/295295281/
14000000;14;SEAR;68;39;2;23;;0;0;;2;https://www.cian.ru/sale/flat/289389141/
14000000;4;NAR;43;32;6;8;1958;0;0;;2;https://www.cian.ru/sale/flat/298753215/
14000000;4;SWAR;44,8;27,4;4;12;1972;0;0;;2;https://www.cian.ru/sale/flat/300424388/
14000000;17;NAR;28,6;;3;23;2024;1;1;3,2;1;https://www.cian.ru/sale/flat/298969635/
14000000;5;SAR;32,4;;4;33;2023;1;0;2,7;1;https://www.cian.ru/sale/flat/298421748/
14000000;13;SEAR;40,9;20,9;11;13;2022;0;0;2,8;1;https://www.cian.ru/sale/flat/299281102/
14000000;14;NWAR;30;20;21;24;2021;0;1;3,2;1;https://www.cian.ru/sale/flat/294594280/
14000000;12;NEAR;37;19;13;17;;0;0;2,7;1;https://www.cian.ru/sale/flat/298527239/
14000000;6;SAR;54;;6;9;1977;0;0;2,64;3;https://www.cian.ru/sale/flat/297212699/
14000000;10;NWAR;58,2;37;7;9;1968;0;0;2,64;3;https://www.cian.ru/sale/flat/298883796/
14000000;18;SEAR;63,1;46,5;3;9;1979;0;0;2,6;4;https://www.cian.ru/sale/flat/300299181/
14000000;14;SWAR;63,2;46,3;9;9;1972;0;0;;4;https://www.cian.ru/sale/flat/300574311/
14000000;11;SAR;64;46,4;3;9;;0;0;;4;https://www.cian.ru/sale/flat/294609476/
14000000;8;SAR;76,6;52,7;1;14;1991;0;0;2,64;4;https://www.cian.ru/sale/flat/299295825/
14064700;12;WAR;34,9;15,6;19;21;2023;1;0;2,7;1;https://www.cian.ru/sale/flat/297334702/
14077381;24;SEAR;36,8;10,7;14;23;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/300680004/
14100000;8;EAR;45;28;2;9;1962;0;0;2,64;2;https://www.cian.ru/sale/flat/300427699/
14100000;3;NAR;45;30;2;5;1963;0;0;;2;https://www.cian.ru/sale/flat/300411529/
14100000;5;EAR;53;32,5;9;10;;0;0;;2;https://www.cian.ru/sale/flat/300313132/
14100000;9;NAR;36,73;;17;31;2024;1;0;2,7;1;https://www.cian.ru/sale/flat/298664660/
14100000;7;SEAR;39,8;18,9;6;24;2018;0;0;2,7;1;https://www.cian.ru/sale/flat/299928892/
14100000;12;NEAR;29,4;17,6;6;8;1959;0;0;2,7;1;https://www.cian.ru/sale/flat/300771393/
14100000;13;NAR;36,19;12;10;22;2023;0;0;2,7;1;https://www.cian.ru/sale/flat/300889696/
14100000;14;SWAR;31;19;3;9;1965;0;0;2,5;1;https://www.cian.ru/sale/flat/300386735/
14149999;7;NEAR;63,2;;4;12;1976;0;0;2,5;3;https://www.cian.ru/sale/flat/294295889/
14150000;11;SWAR;38,5;19;17;17;2010;0;0;2,74;1;https://www.cian.ru/sale/flat/300454579/
14170118;27;SAR;34,3;14;30;33;2023;1;0;2,68;1;https://www.cian.ru/sale/flat/300915394/
14180992;10;WAR;47,6;;3;25;2022;1;0;2,7;2;https://www.cian.ru/sale/flat/300614605/
14200000;8;SWAR;60,2;;10;16;2003;0;0;2,9;2;https://www.cian.ru/sale/flat/299185600/
14200000;9;SAR;30,6;18,7;7;8;;0;0;;1;https://www.cian.ru/sale/flat/300338572/
14200000;4;EAR;40;23,5;3;12;1969;0;0;2,64;1;https://www.cian.ru/sale/flat/298965296/
14200000;5;NWAR;40,6;26;18;25;;0;0;2,85;1;https://www.cian.ru/sale/flat/298599181/
14200000;5;NEAR;42,4;21;2;23;2021;0;0;2,8;1;https://www.cian.ru/sale/flat/297722022/
14216588;20;NEAR;34;;10;22;2021;1;0;2,65;1;https://www.cian.ru/sale/flat/298401393/
14221662;16;NWAR;39;;1;24;2024;1;0;3;1;https://www.cian.ru/sale/flat/300361487/
14250000;3;NAR;42,2;15,3;5;24;2021;0;0;2,8;1;https://www.cian.ru/sale/flat/300009245/
14250000;5;NAR;35;19;3;9;1973;0;0;;1;https://www.cian.ru/sale/flat/300986104/
14250000;2;NWAR;37,5;19;11;22;1987;0;0;2,64;1;https://www.cian.ru/sale/flat/300603353/
14250000;10;NWAR;43;18;20;20;2015;;;;1;https://www.cian.ru/sale/flat/300615394/
14290000;8;NEAR;38;20;4;9;1975;0;0;2,64;1;https://www.cian.ru/sale/flat/300809061/
14300000;17;EAR;45;30;2;9;1966;0;0;2,65;2;https://www.cian.ru/sale/flat/300293083/
14300000;5;NWAR;45,7;;6;25;2022;0;1;3,1;2;https://www.cian.ru/sale/flat/300172251/
14300000;15;NEAR;36;18;2;9;1964;0;0;;2;https://www.cian.ru/sale/flat/300840758/
14300000;3;EAR;40,1;;2;8;1963;0;0;2,64;1;https://www.cian.ru/sale/flat/300571796/
14300000;4;SAR;62,4;46;5;9;;0;0;;4;https://www.cian.ru/sale/flat/299596657/
14300000;11;CAR;80,9;56,4;8;8;1957;0;0;3,2;4;https://www.cian.ru/sale/flat/297372708/
14300000;16;SWAR;67;41;2;9;1976;0;0;2,7;4;https://www.cian.ru/sale/flat/295037149/
14300000;15;NAR;61;42,9;6;9;;0;0;;4;https://www.cian.ru/sale/flat/299723167/
14350000;9;NWAR;35;;9;9;1972;0;0;2,64;2;https://www.cian.ru/sale/flat/300840365/
14350000;14;NEAR;63,7;33,2;7;17;2007;0;0;2,74;2;https://www.cian.ru/sale/flat/300833862/
14375962;16;NAR;52,8;25,5;10;14;2023;1;0;2,84;2;https://www.cian.ru/sale/flat/297033536/
14390000;7;WAR;32,8;14;6;17;2023;1;0;;1;https://www.cian.ru/sale/flat/300383794/
14390000;3;SAR;38,2;20,1;6;9;1961;0;0;3;1;https://www.cian.ru/sale/flat/300660959/
14400000;14;NAR;44,5;;3;9;1972;0;0;2,64;2;https://www.cian.ru/sale/flat/300793238/
14400000;5;SAR;52;32;2;17;1997;0;0;2,64;2;https://www.cian.ru/sale/flat/291641709/
14400000;8;NAR;36;19;8;9;1970;0;0;2,7;1;https://www.cian.ru/sale/flat/300600845/
14400000;6;SAR;36,9;14;18;26;2023;0;0;2,7;1;https://www.cian.ru/sale/flat/299427439/
14400000;16;SWAR;30;18;8;9;1966;0;0;2,7;1;https://www.cian.ru/sale/flat/299241579/
14450000;10;NAR;48,3;29,2;1;9;1975;0;0;2,64;2;https://www.cian.ru/sale/flat/298252053/
14467200;14;WAR;35,2;10,3;20;33;2023;1;0;2,7;1;https://www.cian.ru/sale/flat/297434025/
14490000;11;SWAR;41;21,1;5;12;1968;0;0;2,48;2;https://www.cian.ru/sale/flat/299961362/
14490000;13;NWAR;40;18;8;9;;0;0;;2;https://www.cian.ru/sale/flat/300102336/
14490000;7;NAR;35;;5;12;1968;0;0;2,64;1;https://www.cian.ru/sale/flat/300557795/
14499000;16;EAR;52;;1;16;1993;0;0;2,48;2;https://www.cian.ru/sale/flat/300601402/
14500000;17;SEAR;48,74;;11;19;2024;1;1;3;2;https://www.cian.ru/sale/flat/298297506/
14500000;10;SEAR;38,2;;8;9;1969;0;0;2,6;2;https://www.cian.ru/sale/flat/298501611/
14500000;17;SWAR;44;30;2;5;1963;0;0;2,5;2;https://www.cian.ru/sale/flat/300210689/
14500000;8;NWAR;61,7;;8;24;2023;0;0;2,75;2;https://www.cian.ru/sale/flat/294473072/
14500000;6;NAR;47,2;32,7;12;33;;0;0;;2;https://www.cian.ru/sale/flat/299611996/
14500000;6;SEAR;44;28;17;17;2006;0;0;2,75;2;https://www.cian.ru/sale/flat/300841537/
14500000;11;NWAR;43;27;5;9;1968;0;0;;2;https://www.cian.ru/sale/flat/299853663/
14500000;6;SAR;47,9;;2;9;1973;0;0;2,8;2;https://www.cian.ru/sale/flat/298819612/
14500000;9;SEAR;40,9;25,3;3;8;1961;0;0;2,6;2;https://www.cian.ru/sale/flat/300478282/
14500000;10;WAR;45;30;11;14;1969;0;0;2,64;2;https://www.cian.ru/sale/flat/300810564/
14500000;14;NEAR;52,2;;6;12;1979;0;0;2,64;2;https://www.cian.ru/sale/flat/300844069/
14500000;18;NWAR;35,7;12,2;13;21;2023;1;0;;1;https://www.cian.ru/sale/flat/297022451/
14500000;11;EAR;37,7;10,3;11;33;2024;1;0;;1;https://www.cian.ru/sale/flat/299677411/
14500000;17;NWAR;30,5;19;6;16;2024;1;0;;1;https://www.cian.ru/sale/flat/299693599/
14500000;7;SAR;31,5;15;16;23;2023;1;0;;1;https://www.cian.ru/sale/flat/300083916/
14500000;17;EAR;39,5;21;2;14;1994;0;0;2,65;1;https://www.cian.ru/sale/flat/300691701/
14500000;7;NAR;38,3;19,2;11;17;1988;0;0;2,7;1;https://www.cian.ru/sale/flat/298165816/
14500000;10;SEAR;30;18;10;27;2022;0;0;3;1;https://www.cian.ru/sale/flat/298826127/
14500000;16;NAR;43,9;;1;16;1977;0;0;2,7;1;https://www.cian.ru/sale/flat/300833245/
14500000;14;SWAR;37,5;20;5;14;2007;0;0;2,75;1;https://www.cian.ru/sale/flat/298572994/
14500000;3;WAR;37,6;18;8;17;1984;0;0;2,7;1;https://www.cian.ru/sale/flat/300685886/
14500000;16;WAR;42;18;16;25;1998;0;0;2,8;1;https://www.cian.ru/sale/flat/295181332/
14500000;5;NAR;37,9;19;12;17;1986;0;0;2,75;1;https://www.cian.ru/sale/flat/298554787/
14500000;6;SAR;35,1;13,3;2;26;2023;0;0;2,7;1;https://www.cian.ru/sale/flat/300799595/
14500000;3;EAR;59,3;;4;9;1969;0;0;2,64;3;https://www.cian.ru/sale/flat/300542990/
14500000;5;SAR;68,5;53,6;4;9;1971;0;0;2,64;3;https://www.cian.ru/sale/flat/299731595/
14500000;8;SAR;65;40;13;16;1983;0;0;;3;https://www.cian.ru/sale/flat/299899341/
14500000;8;NEAR;57;45;3;9;1970;0;0;2,64;3;https://www.cian.ru/sale/flat/300779492/
14500000;12;SWAR;50;;4;9;1976;0;0;2,64;3;https://www.cian.ru/sale/flat/299145106/
14500000;15;EAR;58;44;2;9;1966;0;0;2,64;3;https://www.cian.ru/sale/flat/300579605/
14500000;15;EAR;65;43,7;9;9;1970;0;0;2,64;4;https://www.cian.ru/sale/flat/300713526/
14500000;6;NAR;64;46,4;3;9;1966;0;0;2,64;4;https://www.cian.ru/sale/flat/294052215/
14500000;12;SWAR;64;47;3;9;1977;0;0;2,64;4;https://www.cian.ru/sale/flat/271286209/
14500000;8;NEAR;64,5;45,9;1;9;;0;0;;4;https://www.cian.ru/sale/flat/300107944/
14500000;13;SWAR;63;46;6;9;;0;0;;4;https://www.cian.ru/sale/flat/299520142/
14500000;5;NAR;65;46,4;3;9;1966;0;0;2,7;4;https://www.cian.ru/sale/flat/292487820/
14502068;4;EAR;33,51;12,5;6;29;2023;1;0;3;1;https://www.cian.ru/sale/flat/298055159/
14507621;17;SEAR;45,9;13,1;3;8;2024;1;1;2,87;1;https://www.cian.ru/sale/flat/300575191/
14518035;16;NAR;52,9;25,5;13;14;2023;1;0;2,84;2;https://www.cian.ru/sale/flat/297032963/
14527275;10;;37,5;11,5;30;33;2023;1;0;2,67;1;https://www.cian.ru/sale/flat/300979757/
14528203;27;SAR;44,2;16;17;23;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/300726025/
14550000;5;NWAR;51,1;;4;20;2024;1;0;;2;https://www.cian.ru/sale/flat/299687178/
14562033;10;SWAR;47,5;14,9;11;14;2023;1;1;2,8;1;https://www.cian.ru/sale/flat/297413638/
14590000;5;WAR;32,6;10,6;9;21;2023;1;0;;1;https://www.cian.ru/sale/flat/300126205/
14599000;11;NEAR;50,3;;14;16;1976;0;0;2,5;2;https://www.cian.ru/sale/flat/299108145/
14600000;9;SAR;50,5;30,4;5;17;1985;0;0;2,64;2;https://www.cian.ru/sale/flat/300867236/
14600000;11;EAR;37,3;10,3;7;33;2024;1;0;2,8;1;https://www.cian.ru/sale/flat/298264753/
14600000;4;;38,4;18,4;12;22;;0;0;;1;https://www.cian.ru/sale/flat/300050876/
14604980;6;NAR;52,4;25,4;13;15;2023;1;0;2,84;2;https://www.cian.ru/sale/flat/300121769/
14650000;14;NEAR;58;;5;17;2016;0;0;2,64;2;https://www.cian.ru/sale/flat/298324638/
14650000;10;NAR;36;15;5;17;2001;0;0;2,64;1;https://www.cian.ru/sale/flat/294761737/
14700000;7;SAR;45;28;4;9;1970;0;0;2,55;2;https://www.cian.ru/sale/flat/300282463/
14700000;9;SAR;45;20;9;9;1969;0;0;2,6;2;https://www.cian.ru/sale/flat/300610779/
14700000;9;NAR;32,9;20,8;1;5;1960;0;0;2,9;1;https://www.cian.ru/sale/flat/297827474/
14700000;13;CAR;30;18;3;5;1960;0;0;2,8;1;https://www.cian.ru/sale/flat/298670679/
14700000;10;SEAR;30;15;5;29;2022;0;0;3;1;https://www.cian.ru/sale/flat/299360335/
14728625;10;SEAR;37,1;11,9;29;33;2023;1;0;2,67;1;https://www.cian.ru/sale/flat/293402797/
14766700;14;WAR;37;11,2;33;33;2023;1;0;2,7;1;https://www.cian.ru/sale/flat/281170310/
14790000;12;SAR;44,7;30,4;5;8;1961;0;0;2,64;2;https://www.cian.ru/sale/flat/296801651/
14790000;13;SAR;59;37,6;8;9;1969;0;0;2,64;3;https://www.cian.ru/sale/flat/300327358/
14798340;11;WAR;34,2;14,1;33;33;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/270796934/
14799000;4;NEAR;63,1;46,3;9;9;;0;0;;4;https://www.cian.ru/sale/flat/289331383/
14800000;13;WAR;44;28;1;9;1970;0;0;2,64;2;https://www.cian.ru/sale/flat/297130856/
14800000;7;NEAR;46;30;5;12;1981;0;0;2,6;2;https://www.cian.ru/sale/flat/300684694/
14800000;11;SAR;45;;4;9;1970;0;0;2,64;2;https://www.cian.ru/sale/flat/300508742/
14800000;10;NAR;47;31;5;14;1971;0;0;2,64;2;https://www.cian.ru/sale/flat/300822574/
14800000;8;SAR;44,4;;1;5;1966;0;0;2,48;2;https://www.cian.ru/sale/flat/299070039/
14800000;7;SEAR;34,5;;17;33;2023;1;0;;1;https://www.cian.ru/sale/flat/296167467/
14800000;3;NAR;36,9;19;10;24;2021;0;0;;1;https://www.cian.ru/sale/flat/299281002/
14800000;11;SEAR;28,1;;5;27;2022;0;0;3;1;https://www.cian.ru/sale/flat/300883239/
14800000;8;SEAR;41,1;15;14;26;2023;0;0;2,7;1;https://www.cian.ru/sale/flat/299560332/
14800000;5;NEAR;30;16;11;12;1972;0;0;2,64;1;https://www.cian.ru/sale/flat/300045417/
14800000;5;NEAR;30;15,6;11;12;1972;0;0;;1;https://www.cian.ru/sale/flat/300881473/
14800000;6;NEAR;34,6;20,8;5;21;;0;0;2,8;1;https://www.cian.ru/sale/flat/300385847/
14800000;8;EAR;57,9;41,3;8;9;1968;0;0;2,55;3;https://www.cian.ru/sale/flat/300824965/
14800000;12;EAR;65;38,9;1;9;1971;0;0;2,64;3;https://www.cian.ru/sale/flat/299860510/
14825000;13;WAR;52;;7;17;2006;0;0;2,5;2;https://www.cian.ru/sale/flat/299856718/
14850000;11;SEAR;51,5;;16;17;2001;0;0;2,7;2;https://www.cian.ru/sale/flat/300512221/
14850000;11;EAR;55;32;5;17;;0;0;2,6;2;https://www.cian.ru/sale/flat/300634689/
14850000;10;NAR;43,7;19,3;10;12;1975;0;0;2,65;1;https://www.cian.ru/sale/flat/300553239/
14850000;13;SEAR;77,8;49,8;1;5;1958;0;0;;4;https://www.cian.ru/sale/flat/295197611/
14850000;11;NEAR;62,5;45,5;6;9;;0;0;2,65;4;https://www.cian.ru/sale/flat/298673623/
14861000;5;WAR;32,8;9,5;28;33;2023;1;0;;1;https://www.cian.ru/sale/flat/299983333/
14900000;19;NEAR;63,7;;13;25;2024;1;0;3;2;https://www.cian.ru/sale/flat/299247819/
14900000;4;NEAR;44,5;;5;9;1975;0;0;2,64;2;https://www.cian.ru/sale/flat/299871569/
14900000;4;SEAR;55;30,4;5;12;2002;0;0;2,64;2;https://www.cian.ru/sale/flat/298228405/
14900000;11;SEAR;58,4;;22;25;;0;0;;2;https://www.cian.ru/sale/flat/292772970/
14900000;8;NEAR;40;;5;9;1966;0;0;2,64;2;https://www.cian.ru/sale/flat/299659010/
14900000;5;WAR;35,7;11,2;16;33;2023;1;0;;1;https://www.cian.ru/sale/flat/296614283/
14900000;8;NWAR;40;21;10;12;1979;0;0;2,64;1;https://www.cian.ru/sale/flat/297396521/
14900000;1;SWAR;32;17;4;9;1970;0;0;2,58;1;https://www.cian.ru/sale/flat/300833544/
14900000;8;SAR;40,2;18,9;24;25;2018;0;0;2,7;1;https://www.cian.ru/sale/flat/298878638/
14900000;11;SEAR;34,2;;24;33;2023;0;0;2,59;1;https://www.cian.ru/sale/flat/297087775/
14900000;14;SWAR;55,3;37,9;4;5;1960;0;0;2,6;3;https://www.cian.ru/sale/flat/298976988/
14900000;3;SEAR;74;43;11;19;2010;0;0;;3;https://www.cian.ru/sale/flat/299292844/
14900000;3;EAR;63,2;46,7;1;9;1976;0;0;2,64;4;https://www.cian.ru/sale/flat/300026356/
14900000;14;NEAR;63;46,1;8;9;1975;0;0;2,64;4;https://www.cian.ru/sale/flat/298576679/
14924263;10;WAR;49,8;;11;25;2021;1;0;2,63;2;https://www.cian.ru/sale/flat/300605458/
14945920;14;WAR;38,6;10,9;24;33;2023;1;0;2,7;1;https://www.cian.ru/sale/flat/297434023/
14950000;6;SAR;54;;2;18;2021;0;0;2,8;2;https://www.cian.ru/sale/flat/299479879/
14950000;16;WAR;38,1;19;3;17;1993;0;0;2,7;1;https://www.cian.ru/sale/flat/300891715/
14950000;9;NAR;54,4;;5;5;1959;0;0;2,75;3;https://www.cian.ru/sale/flat/291812213/
14950000;15;NEAR;78;43,7;1;12;1981;0;0;3;4;https://www.cian.ru/sale/flat/298459827/
14976000;6;NWAR;37,79;;11;18;2022;1;1;;2;https://www.cian.ru/sale/flat/292547823/
14980000;20;NWAR;48;15;4;19;2023;0;0;3;1;https://www.cian.ru/sale/flat/300148604/
14983798;6;NEAR;41,3;;3;33;2020;1;0;2,63;1;https://www.cian.ru/sale/flat/300298451/
14983854;20;NEAR;37,5;;5;22;2021;1;0;2,65;1;https://www.cian.ru/sale/flat/298401390/
14990000;14;NEAR;51,1;;5;17;2023;0;1;3;2;https://www.cian.ru/sale/flat/299059276/
14990000;5;NAR;43;28;5;5;1959;0;0;2,5;2;https://www.cian.ru/sale/flat/300057821/
14990000;16;EAR;54;36;7;12;1987;0;0;;2;https://www.cian.ru/sale/flat/298803552/
14990000;14;SWAR;40;23,3;9;12;1969;0;0;2,6;2;https://www.cian.ru/sale/flat/300774268/
14990000;14;SWAR;35,3;;6;12;1974;0;0;2,64;1;https://www.cian.ru/sale/flat/299990269/
14999000;20;NWAR;51;28;4;25;;0;0;;2;https://www.cian.ru/sale/flat/299293091/
14999000;3;WAR;35,2;20;4;5;1961;0;0;2,7;1;https://www.cian.ru/sale/flat/299146321/
14999000;7;WAR;41;20;2;12;1974;0;0;2,64;1;https://www.cian.ru/sale/flat/298517952/
14999900;14;SWAR;58,5;29,4;9;14;2008;0;0;2,64;2;https://www.cian.ru/sale/flat/298038160/
14999999;14;SAR;63,5;39,1;9;9;1972;0;0;2,64;3;https://www.cian.ru/sale/flat/296199584/
15000000;9;WAR;47,3;33,5;6;12;;0;0;;2;https://www.cian.ru/sale/flat/300849139/
15000000;20;NWAR;60;;1;16;1977;0;0;2,64;2;https://www.cian.ru/sale/flat/300213900/
15000000;8;NWAR;55,5;;1;4;;0;0;3;2;https://www.cian.ru/sale/flat/299765157/
15000000;13;WAR;53,6;;7;16;1979;0;0;2,64;2;https://www.cian.ru/sale/flat/299561244/
15000000;11;NAR;35;;4;9;2021;0;0;2,95;2;https://www.cian.ru/sale/flat/300001735/
15000000;4;NWAR;45;;5;5;1964;0;0;2,5;2;https://www.cian.ru/sale/flat/299945354/
15000000;5;WAR;40,8;28,8;8;14;1974;0;0;;2;https://www.cian.ru/sale/flat/300099334/
15000000;9;EAR;36,46;;16;33;2023;1;0;;1;https://www.cian.ru/sale/flat/298292536/
15000000;4;SEAR;40;20;2;7;2008;0;0;3,4;1;https://www.cian.ru/sale/flat/277942686/
15000000;13;CAR;39,1;25;10;12;1978;0;0;2,64;1;https://www.cian.ru/sale/flat/300961532/
15000000;6;WAR;46,8;24,4;17;24;2018;0;0;2,65;1;https://www.cian.ru/sale/flat/300829361/
15000000;5;NEAR;31,7;20,1;1;5;1962;0;0;2,64;1;https://www.cian.ru/sale/flat/300487094/
15000000;16;SWAR;33;;4;9;1964;0;0;2,64;1;https://www.cian.ru/sale/flat/299495592/
15000000;8;CAR;32,8;;11;12;1966;0;0;2,64;1;https://www.cian.ru/sale/flat/298085850/
15000000;11;NEAR;39,1;11,7;20;32;2023;0;0;2,75;1;https://www.cian.ru/sale/flat/300067352/
15000000;5;NAR;33,8;15;17;17;2018;0;0;3;1;https://www.cian.ru/sale/flat/299989219/
15000000;6;CAR;27;19;2;6;1928;0;1;3,1;1;https://www.cian.ru/sale/flat/292654290/
15000000;11;NEAR;36,4;19,3;12;14;1971;0;0;2,7;1;https://www.cian.ru/sale/flat/300295957/
15000000;20;NWAR;38,1;12,8;23;27;2023;0;0;;1;https://www.cian.ru/sale/flat/300345102/
15000000;2;SAR;40,2;;4;17;1972;0;0;2,64;1;https://www.cian.ru/sale/flat/299525163/
15000000;7;SAR;59,7;43,1;2;9;1970;0;0;2,64;3;https://www.cian.ru/sale/flat/297636835/
15000000;15;NAR;58,8;42,5;2;5;1967;0;0;4,5;3;https://www.cian.ru/sale/flat/299765160/
15000000;16;WAR;64;46,2;9;9;1970;0;0;2,64;4;https://www.cian.ru/sale/flat/297772053/
15000000;17;SWAR;62,7;46,3;3;9;1972;0;0;;4;https://www.cian.ru/sale/flat/299731947/
15000000;8;NEAR;63;46,3;3;9;1979;0;0;2,6;4;https://www.cian.ru/sale/flat/298220970/
15100000;5;NAR;50;32,4;6;31;2022;0;0;2,85;2;https://www.cian.ru/sale/flat/299447787/
15100000;3;WAR;55,1;33,7;2;5;1959;0;0;3;2;https://www.cian.ru/sale/flat/298195728/
15100000;13;EAR;58,4;31,5;5;5;1958;0;0;3;2;https://www.cian.ru/sale/flat/300540008/
15100000;5;NAR;41;18;3;16;1983;0;0;2,6;1;https://www.cian.ru/sale/flat/299997376/
15136800;9;EAR;35,7;11,2;33;33;2023;1;0;2,6;1;https://www.cian.ru/sale/flat/286097747/
15146733;6;WAR;50,1;;18;25;2021;1;0;2,63;2;https://www.cian.ru/sale/flat/299449835/
15150000;10;WAR;31;15;5;5;;0;0;;1;https://www.cian.ru/sale/flat/296556180/
15177043;4;EAR;36,33;18,4;6;29;2023;1;0;3;2;https://www.cian.ru/sale/flat/298055156/
15180000;18;NWAR;29,2;14,3;8;16;2023;1;0;;1;https://www.cian.ru/sale/flat/299064211/
15190000;5;NWAR;37;20;4;21;2002;0;0;;1;https://www.cian.ru/sale/flat/300384806/
15199980;13;WAR;49,7;;3;9;1970;0;0;2,64;2;https://www.cian.ru/sale/flat/300691649/
15200000;18;WAR;43,7;;26;30;;0;0;3,02;2;https://www.cian.ru/sale/flat/294213944/
15200000;19;NEAR;48;;1;12;1973;0;0;2,64;2;https://www.cian.ru/sale/flat/300253528/
15200000;12;NEAR;44,5;;5;9;1968;0;0;2,64;2;https://www.cian.ru/sale/flat/298559075/
15200000;7;NEAR;36,39;14;15;24;2020;1;0;;1;https://www.cian.ru/sale/flat/296210002/
15200000;9;EAR;33;17;6;9;1965;0;0;2,6;1;https://www.cian.ru/sale/flat/300989405/
15200000;17;NAR;35,2;20;12;12;1967;0;0;2,64;1;https://www.cian.ru/sale/flat/300948330/
15200000;16;SEAR;62,2;;8;9;1969;0;0;2,64;4;https://www.cian.ru/sale/flat/300197305/
15269184;25;WAR;32;12,2;2;33;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/300679647/
15272858;16;NAR;59,6;29,7;3;14;2023;1;0;2,84;2;https://www.cian.ru/sale/flat/297033498/
15290000;12;EAR;45;;6;12;1968;0;0;2,64;2;https://www.cian.ru/sale/flat/298925476/
15299000;19;NEAR;47;30;15;15;2018;0;0;2,7;2;https://www.cian.ru/sale/flat/300472670/
15300000;10;EAR;40;;13;33;2023;1;0;;2;https://www.cian.ru/sale/flat/298751444/
15300000;5;NEAR;61,5;33,3;16;16;2003;0;0;2,64;2;https://www.cian.ru/sale/flat/300176483/
15300000;3;NWAR;34;22;3;9;1972;0;0;2,64;2;https://www.cian.ru/sale/flat/300109245/
15300000;;EAR;45,8;21,4;10;14;2004;0;0;2,8;1;https://www.cian.ru/sale/flat/292545798/
15300000;3;NEAR;40;12;13;22;2022;0;0;3;1;https://www.cian.ru/sale/flat/296383358/
15300000;13;NAR;40;12;14;22;2023;0;0;3;1;https://www.cian.ru/sale/flat/299966367/
15300000;7;SWAR;63,5;47;2;9;1977;0;0;2,64;4;https://www.cian.ru/sale/flat/297284429/
15300000;15;WAR;71;50;3;16;;0;0;;4;https://www.cian.ru/sale/flat/300523749/
15300000;4;EAR;74,6;55,7;1;14;1971;0;0;2,64;4;https://www.cian.ru/sale/flat/290838053/
15328800;11;EAR;36;10,6;33;33;2023;1;0;2,6;1;https://www.cian.ru/sale/flat/288566684/
15333570;5;WAR;51,3;;3;25;2021;1;0;2,63;2;https://www.cian.ru/sale/flat/299449765/
15336216;30;WAR;32,4;9,5;5;33;2024;1;0;2,62;1;https://www.cian.ru/sale/flat/300762628/
15338234;30;WAR;32,6;9,4;31;33;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/300679495/
15340292;10;SEAR;38,9;10,9;31;33;2023;1;0;2,67;1;https://www.cian.ru/sale/flat/293849362/
15350000;4;WAR;57;37;3;5;1957;0;0;3;2;https://www.cian.ru/sale/flat/300707466/
15375000;18;NWAR;41,5;14,3;13;21;2023;0;0;;1;https://www.cian.ru/sale/flat/300499412/
15377189;6;NWAR;46,93;;16;18;2022;1;1;4,5;3;https://www.cian.ru/sale/flat/295137054/
15382197;5;WAR;51,7;;24;25;2021;1;0;2,63;2;https://www.cian.ru/sale/flat/299508962/
15392669;24;SEAR;45,8;12,5;13;23;2023;1;0;2,62;1;https://www.cian.ru/sale/flat/300680003/
15400000;5;NEAR;56,3;;10;22;2009;0;0;2,8;2;https://www.cian.ru/sale/flat/299280221/
